date,price,,NA
2022/6/1,4101.23,,停盘日
2022/6/2,4176.82,,
2022/6/3,4108.54,,
2022/6/4,4108.54,,
2022/6/5,4108.54,,
2022/6/6,4121.43,,
2022/6/7,4160.68,,
2022/6/8,4115.77,,
2022/6/9,4017.82,,
2022/6/10,3900.86,,
2022/6/11,3900.86,,
2022/6/12,3900.86,,
2022/6/13,3749.63,,
2022/6/14,3735.48,,
2022/6/15,3789.99,,
2022/6/16,3666.77,,
2022/6/17,3674.84,,
2022/6/18,3674.84,,
2022/6/19,3674.84,,
2022/6/20,3674.84,,
2022/6/21,3764.79,,
2022/6/22,3759.89,,
2022/6/23,3795.73,,
2022/6/24,3911.74,,
2022/6/25,3911.74,,
2022/6/26,3911.74,,
2022/6/27,3900.11,,
2022/6/28,3821.55,,
2022/6/29,3818.83,,
2022/6/30,3785.38,,
2022/7/1,3825.33,,
2022/7/2,3825.33,,
2022/7/3,3825.33,,
2022/7/4,3825.33,,
2022/7/5,3831.39,,
2022/7/6,3845.08,,
2022/7/7,3902.62,,
2022/7/8,3899.38,,
2022/7/9,3899.38,,
2022/7/10,3899.38,,
2022/7/11,3854.43,,
2022/7/12,3818.8,,
2022/7/13,3801.78,,
2022/7/14,3790.38,,
2022/7/15,3863.16,,
2022/7/16,3863.16,,
2022/7/17,3863.16,,
2022/7/18,3830.85,,
2022/7/19,3936.69,,
2022/7/20,3959.9,,
2022/7/21,3998.95,,
2022/7/22,3961.63,,
2022/7/23,3961.63,,
2022/7/24,3961.63,,
2022/7/25,3966.84,,
2022/7/26,3921.05,,
2022/7/27,4023.61,,
2022/7/28,4072.43,,
2022/7/29,4130.29,,
2022/7/30,4130.29,,
2022/7/31,4130.29,,
2022/8/1,4118.63,,
2022/8/2,4091.19,,
2022/8/3,4155.17,,
2022/8/4,4151.94,,
2022/8/5,4145.19,,
2022/8/6,4145.19,,
2022/8/7,4145.19,,
2022/8/8,4140.06,,
2022/8/9,4122.47,,
2022/8/10,4210.24,,
2022/8/11,4207.27,,
2022/8/12,4280.15,,
2022/8/13,4280.15,,
2022/8/14,4280.15,,
2022/8/15,4297.14,,
2022/8/16,4305.2,,
2022/8/17,4274.04,,
2022/8/18,4283.74,,
2022/8/19,4228.48,,
2022/8/20,4228.48,,
2022/8/21,4228.48,,
2022/8/22,4137.99,,
2022/8/23,4128.73,,
2022/8/24,4140.77,,
2022/8/25,4199.12,,
2022/8/26,4057.66,,
2022/8/27,4057.66,,
2022/8/28,4057.66,,
2022/8/29,4030.61,,
2022/8/30,3986.16,,
2022/8/31,3955,,
